ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE57432,tzh,takin o'tanil,n.,,,,,,TSE46881 ; TSE57381,,,,,,,takin + o'tan -il,,,,,,,,
TSE57441,tzh,takin yo'tan,phr.(n.v.p.+subj.NP),,,,,,TSE46881 ; TSE57441,,,,,,,,,,,,,,,
TSE57451,tzh,takinaj,i.v.,,,,,,,Center,,,,,,tak -in -aj,,,,,,,,
TSE57461,tzh,tak'inaj,i.v.,,,,,,TSE57391,"Oxchuc, Tenejapa",,,,,,tak'in -aj,,,,,,Cancuc <tak'inej>,,
TSE57471,tzh,takintes,t.v.,,,,,,TSE57381,Oxchuc,,,,,,tak -in -tes,,,,,,,,
TSE57481,tzh,takuats,n.,,,,,,,"Aguacatenango, Petalcingo, Sitalá, Villa Las Rosas",,,"del náhuatl, quizás a través del español",,,,,,,,,,,
TSE57491,tzh,takutes,t.v.,,,,,,,Tenejapa,,,,,,tak -u -tes,,,,,,,,
TSE57501,tzh,tak'uy,t.v.,,,,,,,"Cancuc, Oxchuc",,,,,,tak' -uy,,,,,alternancia -Y: <tak'u>,,,
TSE57511,tzh,tal,mov.i.v.,,,,,,,,,,,,,,,,,,,,,
TSE57521,tzh,tal,dir.,,,,,,,,,,,,,,,,,,,,,
TSE57531,tzh,t'al,t.v.,,,,,,,Bachajón,,,,,,,,,,,,,,
TSE57541,tzh,talel,dir.,,,,,,TSE57511,,,,,,,tal -el,,,,,,"la forma larga <talel> es general; la forma corta es <tal> excepto: Abasolo, Cancuc, Oxchuc <tel>; San Pedro Pedernal <tael>",,"tael, tal, tel"
TSE57551,tzh,talel,n2.,,,,,,,,,,,,,tal -el,,,,,,,,
